CSDUID,CSDNAME,CSDTYPE,CMHC_CSDUID
3549012,McMurrich/Monteith,TP,35R1043
3549014,Perry,TP,35R3033
3549018,Kearney,T,35R1034
3549019,Armour,TP,35R3043
3549022,Burk's Falls,VL,35R1013
3549024,Ryerson,TP,35R1059
3549028,McKellar,TP,35R3087
3549031,McDougall,MU,35R4053
3549032,Parry Sound,T,35R4099
3549036,Carling,TP,35R3057
3549039,Whitestone,MU,35R1039
3549043,Magnetawan,MU,35R3083
3549046,Strong,TP,35R3034
3549048,Sundridge,VL,35R1061
3549051,Joly,TP,35R0033
3549054,Machar,TP,35R1045
3549056,South River,VL,35R3103
3549060,Powassan,MU,35R3099
3549066,Callander,MU,3549066
3549071,Nipissing,TP,35R3094
3549072,Shawanaga 17,IRI,3549072
3549073,Parry Island First Nation,IRI,3549073
3549075,Henvey Inlet 2,IRI,3549075
3549076,French River 13,IRI,3549076
3549077,Dokis 9,IRI,3549077
3549078,Magnetewan 1,IRI,3549078
3549095,"Parry Sound, Unorganized, North East Part",NO,3549095
3549096,"Parry Sound, Unorganized, Centre Part",NO,3549096
3551001,Tehkummah,TP,35R2001
3551006,Central Manitoulin,MU,35R3058
3551011,Assiginack,TP,35R1002
3551017,Northeastern Manitoulin and the Islands,MU,35R3019
3551021,Billings,TP,35R2002
3551026,Gore Bay,T,35R1026
3551027,Gordon/Barrie Island,MU,35R2003
3551028,Burpee and Mills,TP,35R0007
3551034,Cockburn Island,TP,35R0015
3551040,Whitefish River (Part) 4,IRI,3551040
3551041,Sucker Creek 23,IRI,3551041
3551042,Sheguiandah 24,IRI,3551042
3551043,Wikwemikong Unceded,IRI,3551043
3551044,Sheshegwaning 20,IRI,3551044
3551045,M'Chigeeng 22 (West Bay 22),IRI,3551045
3551094,"Manitoulin, Unorganized, West Part",NO,3551094
3551100,Zhiibaahaasing 19A (Cockburn Island 19A),IRI,3551100
3552001,French River / Rivière des Français,M,35R3010
3552004,St.-Charles,MU,35R3107
3552023,Sables-Spanish Rivers,TP,35R3100
3552026,Espanola,T,35R3070
3552028,Baldwin,TP,35R1003
3552031,Nairn and Hyman,TP,35R1022
3552036,Killarney,MU,35R1036
3552051,Whitefish Lake 6,IRI,3552051
3552052,Mattagami 71,IRI,3552052
3552053,Chapleau 74A,IRI,3552053
3552054,Duck Lake 76B,IRI,3552054
3552058,Chapleau 75,IRI,3552058
3552092,Chapleau,TP,35R3035
3552093,"Sudbury, Unorganized, North Part",NO,3552093
3553005,Greater Sudbury / Grand Sudbury,CV,3553005
3553040,Wahnapitei 11,IRI,3553040
3554001,Coleman,TP,35R1015
3554006,Latchford,T,35R1042
3554008,Cobalt,T,35R4002
3554014,Harris,TP,35R1017
3554020,Temiskaming Shores,CY,3554020
3554021,Hudson,TP,35R2046
3554024,Kerns,TP,35R1035
3554026,Harley,TP,35R1021
3554029,Casey,TP,35R1027
3554032,Brethour,TP,35R0008
3554034,Hilliard,TP,35R0027
3554036,Armstrong,TP,35R3047
3554038,Thornloe,VL,35R0065
3554042,James,TP,35R1030
3554044,Charlton and Dack,MU,35R1010
3554049,Evanturel,TP,35R1019
3554052,Englehart,T,35R3069
3554054,Chamberlain,TP,35R0009
3554056,Matachewan,TP,35R0047
3554057,Matachewan 72,IRI,3554057
3554058,McGarry,TP,35R1049
3554062,Larder Lake,TP,35R1041
3554066,Gauthier,TP,35R0021
3554068,Kirkland Lake,T,35R3078
3554091,"Timiskaming, Unorganized, East Part",NO,3554091
3554094,"Timiskaming, Unorganized, West Part",NO,3554094
3556014,Black River-Matheson,TP,35R3051
3556027,Timmins,CY,3556027
3556031,Iroquois Falls,T,35R3036
3556033,Abitibi 70,IRI,3556033
3556042,Cochrane,T,35R3037
3556048,Smooth Rock Falls,T,35R3038
3556052,Fauquier-Strickland,TP,35R1020
3556056,Moonbeam,TP,35R3090
3556066,Kapuskasing,T,35R5016
3556070,Val Rita-Harty,TP,35R1067
3556073,Opasatika,TP,35R0053
3556076,Hearst,T,35R3029
3556077,Mattice-Val Côté,TP,35R1077
3556091,"Cochrane, Unorganized, South West Part",NO,3556091
3556092,"Cochrane, Unorganized, North Part",NO,3556092
3556093,Fort Albany (Part) 67,IRI,3556093
3556094,Factory Island 1,IRI,3556094
3556095,Constance Lake 92,IRI,3556095
3556096,Moose Factory 68,IRI,3556096
3556098,"Cochrane, Unorganized, South East Part",NO,3556098
3556100,Flying Post 73,IRI,3556100
3556102,New Post 69A,IRI,3556102
3556106,Moosonee,TV,35R3091
3557001,Jocelyn,TP,35R0031
3557004,Hilton,TP,35R0028
3557006,Hilton Beach,VL,35R0029
3557008,St. Joseph,TP,35R3106
3557011,Laird,TP,3557011
3557014,Tarbutt and Tarbutt Additional,TP,35R1062
3557016,Johnson,TP,35R1032
3557019,Plummer Additional,TP,35R1056
3557021,Bruce Mines,T,35R1004
3557026,Thessalon 12,IRI,3557026
3557028,Thessalon,T,35R3108
3557035,Huron Shores,MU,35R3045
3557038,Blind River,T,35R3053
3557039,Spanish,T,35R1060
3557040,The North Shore,TP,35R1040
3557041,Elliot Lake,CY,3557041
3557051,"Macdonald, Meredith and Aberdeen Additional",TP,3557051
3557061,Sault Ste. Marie,CY,3557061
3557066,Prince,TP,3557066
3557071,Sagamok,IRI,3557071
3557072,Serpent River 7,IRI,3557072
3557073,Mississagi River 8,IRI,3557073
3557074,Garden River 14,IRI,3557074
3557075,Rankin Location 15D,IRI,3557075
3557076,Wawa,MU,35R3110
3557077,Goulais Bay 15A,IRI,3557077
3557078,Gros Cap 49,IRI,3557078
3557079,Dubreuilville,TP,35R1018
3557091,White River,TP,35R1069
3557094,"Algoma, Unorganized, South East Part",NO,3557094
3557095,"Algoma, Unorganized, North Part",NO,3557095
3557096,Hornepayne,TP,35R3075
3558001,Neebing,MU,3558001
3558003,Fort William 52,IRI,3558003
3558004,Thunder Bay,CY,3558004
3558011,Oliver Paipoonge,MU,3558011
3558012,Gillies,TP,3558012
3558016,O'Connor,TP,3558016
3558019,Conmee,TP,3558019
3558028,Shuniah,MU,3558028
3558034,Dorion,TP,35R0017
3558041,Red Rock,TP,35R1058
3558044,Nipigon,TP,35R3093
3558051,Schreiber,TP,35R3040
3558054,Terrace Bay,TP,35R3039
3558059,Marathon,T,35R5018
3558060,Pic Mobert North,IRI,3558060
3558061,Pic Mobert South,IRI,3558061
3558062,Pic River 50,IRI,3558062
3558063,Pays Plat 51,IRI,3558063
3558064,Lake Helen 53A,IRI,3558064
3558065,Gull River 55,IRI,3558065
3558066,Manitouwadge,TP,35R5017
3558067,Ginoogaming First Nation,IRI,3558067
3558068,Long Lake 58,IRI,3558068
3558069,Rocky Bay 1,IRI,3558069
3558075,Greenstone,MU,35R5015
3558076,Aroland 83,IRI,3558076
3558077,Lake Nipigon,IRI,3558077
3558080,Ojibway Nation of Saugeen (Savant Lake),IRI,3558080
3558085,Osnaburgh 63A,IRI,3558085
3558090,"Thunder Bay, Unorganized",NO,3558090
3558095,Seine River 22A2,IRI,3558095
3558097,Whitesand,IRI,3558097
3558100,Lac des Mille Lacs 22A1,IRI,3558100
3559001,Atikokan,T,35R3052
3559011,Alberton,TP,35R1001
3559012,Fort Frances,T,35R5014
3559016,La Vallee,TP,35R1037
3559019,Emo,TP,35R3068
3559024,Chapple,TP,35R1024
3559026,Manitou Rapids 11,IRI,3559026
3559030,Long Sault 12,IRI,3559030
3559031,Morley,TP,35R1051
3559040,Dawson,TP,35R1016
3559042,Rainy River,T,35R1057
3559047,Lake of the Woods,TP,35R0038
3559048,Sabaskong Bay (Part) 35C,IRI,3559048
3559051,Big Grassy River 35G,IRI,3559051
3559052,Big Island Mainland 93,IRI,3559052
3559053,Saug-a-Gaw-Sing 1,IRI,3559053
3559060,Neguaguon Lake 25D,IRI,3559060
3559061,Rainy Lake 18C,IRI,3559061
3559062,Agency 1,IRI,3559062
3559063,Couchiching 16A,IRI,3559063
3559064,Rainy Lake 26A,IRI,3559064
3559065,Seine River 23B,IRI,3559065
3559066,Seine River 23A,IRI,3559066
3559068,Rainy Lake 17A,IRI,3559068
3559069,Rainy Lake 17B,IRI,3559069
3559090,"Rainy River, Unorganized",NO,3559090
3560001,Ignace,TP,35R3077
3560004,Whitefish Bay 32A,IRI,3560004
3560005,Whitefish Bay 33A,IRI,3560005
3560007,Sabaskong Bay (Part) 35C,IRI,3560007
3560008,Sioux Narrows-Nestor Falls,TP,35R2008
3560010,Kenora,CY,3560010
3560021,Machin,MU,35R2005
3560024,Eagle Lake 27,IRI,3560024
