CTUID,CSDUID,CSDNAME,METCODE,METNAME_EN,NBHDCODE,NBHDNAME_EN,CMHC_CT,GeographyId
5370004.01,3525005,Hamilton,0610,Hamilton,455,Mountain D,0004.01,06104550004.01
5370004.02,3525005,Hamilton,0610,Hamilton,455,Mountain D,0004.02,06104550004.02
5370005.01,3525005,Hamilton,0610,Hamilton,455,Mountain D,0005.01,06104550005.01
5370005.02,3525005,Hamilton,0610,Hamilton,455,Mountain D,0005.02,06104550005.02
5370005.03,3525005,Hamilton,0610,Hamilton,455,Mountain D,0005.03,06104550005.03
5370006.00,3525005,Hamilton,0610,Hamilton,455,Mountain D,0006.00,06104550006.00
5370007.00,3525005,Hamilton,0610,Hamilton,455,Mountain D,0007.00,06104550007.00
5370008.00,3525005,Hamilton,0610,Hamilton,455,Mountain D,0008.00,06104550008.00
5370009.00,3525005,Hamilton,0610,Hamilton,455,Mountain D,0009.00,06104550009.00
5370010.00,3525005,Hamilton,0610,Hamilton,455,Mountain D,0010.00,06104550010.00
5370011.00,3525005,Hamilton,0610,Hamilton,455,Mountain D,0011.00,06104550011.00
5370012.00,3525005,Hamilton,0610,Hamilton,490,Mountain C,0012.00,06104900012.00
5370013.00,3525005,Hamilton,0610,Hamilton,490,Mountain C,0013.00,06104900013.00
5370014.00,3525005,Hamilton,0610,Hamilton,490,Mountain C,0014.00,06104900014.00
5370015.00,3525005,Hamilton,0610,Hamilton,490,Mountain C,0015.00,06104900015.00
5370016.00,3525005,Hamilton,0610,Hamilton,490,Mountain C,0016.00,06104900016.00
5370017.00,3525005,Hamilton,0610,Hamilton,350,Central B,0017.00,06103500017.00
5370018.00,3525005,Hamilton,0610,Hamilton,490,Mountain C,0018.00,06104900018.00
5370019.00,3525005,Hamilton,0610,Hamilton,455,Mountain D,0019.00,06104550019.00
5370020.00,3525005,Hamilton,0610,Hamilton,455,Mountain D,0020.00,06104550020.00
5370021.00,3525005,Hamilton,0610,Hamilton,455,Mountain D,0021.00,06104550021.00
5370022.00,3525005,Hamilton,0610,Hamilton,455,Mountain D,0022.00,06104550022.00
5370023.00,3525005,Hamilton,0610,Hamilton,455,Mountain D,0023.00,06104550023.00
5370024.00,3525005,Hamilton,0610,Hamilton,455,Mountain D,0024.00,06104550024.00
5370025.00,3525005,Hamilton,0610,Hamilton,140,Central East A,0025.00,06101400025.00
5370026.01,3525005,Hamilton,0610,Hamilton,210,East End A,0026.01,06102100026.01
